Event,Sport,Slug
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,canoeing-men-s-canadian-doubles-10000-metres
Snowboarding Women's Parallel Slalom,Snowboarding,snowboarding-women-s-parallel-slalom
"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting,shooting-men-s-dueling-pistol-30-metres-team
"Gymnastics Men's Parallel Bars, Teams",Gymnastics,gymnastics-men-s-parallel-bars-teams
"Gymnastics Men's Horizontal Bar, Teams",Gymnastics,gymnastics-men-s-horizontal-bar-teams
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting,shooting-men-s-small-bore-rifle-disappearing-target-25-metres-team
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,art-competitions-mixed-sculpturing-medals-and-reliefs
"Athletics Men's 1,500 metres Walk",Athletics,athletics-men-s-1500-metres-walk
"Athletics Men's 3 mile, Team",Athletics,athletics-men-s-3-mile-team
"Art Competitions Mixed Sculpturing, Medals",Art Competitions,art-competitions-mixed-sculpturing-medals
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting,shooting-men-s-military-rifle-kneeling-or-standing-300-metres
"Equestrianism Men's Vaulting, Team",Equestrianism,equestrianism-men-s-vaulting-team
"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting,shooting-men-s-free-rifle-any-position-300-metres
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting,shooting-men-s-military-rifle-1873-1874-gras-model-kneeling-or-standing-200-metres
Swimming Men's 100 Yard Backstroke,Swimming,swimming-men-s-100-yard-backstroke
Swimming Men's 440 Yard Breaststroke,Swimming,swimming-men-s-440-yard-breaststroke
"Art Competitions Mixed Literature, Epic Works",Art Competitions,art-competitions-mixed-literature-epic-works
Art Competitions Mixed Architecture,Art Competitions,art-competitions-mixed-architecture
"Athletics Men's 3,500 metres Walk",Athletics,athletics-men-s-3500-metres-walk
Roque Men's Singles,Roque,roque-men-s-singles
Gymnastics Men's Side Horse,Gymnastics,gymnastics-men-s-side-horse
Alpinism Mixed Alpinism,Alpinism,alpinism-mixed-alpinism
Archery Men's Double American Round,Archery,archery-men-s-double-american-round
Archery Men's Team Round,Archery,archery-men-s-team-round
"Archery Men's Target Archery, 33 metres, Individual",Archery,archery-men-s-target-archery-33-metres-individual
"Archery Men's Target Archery, 50 metres, Individual",Archery,archery-men-s-target-archery-50-metres-individual
"Swimming Men's 1,000 metres Freestyle",Swimming,swimming-men-s-1000-metres-freestyle
Athletics Men's 10 mile Walk,Athletics,athletics-men-s-10-mile-walk
"Athletics Men's Discus Throw, Both Hands",Athletics,athletics-men-s-discus-throw-both-hands
Golf Men's Team,Golf,golf-men-s-team
Sailing Mixed 0-0.5 Ton,Sailing,sailing-mixed-0-0-5-ton
Sailing Mixed 20+ Ton,Sailing,sailing-mixed-20-ton
Cycling Women's Team Sprint,Cycling,cycling-women-s-team-sprint
"Weightlifting Men's Unlimited, Two Hands",Weightlifting,weightlifting-men-s-unlimited-two-hands
"Shooting Men's Free Pistol, 25 metres",Shooting,shooting-men-s-free-pistol-25-metres
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting,shooting-men-s-military-revolver-1873-1874-gras-model-20-metres
"Shooting Men's Military Revolver, 20 metres",Shooting,shooting-men-s-military-revolver-20-metres
Shooting Men's Dueling Pistol Au Vise 20 metres,Shooting,shooting-men-s-dueling-pistol-au-vise-20-metres
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Shooting,shooting-men-s-dueling-pistol-au-commandement-25-metres
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Shooting,shooting-men-s-small-bore-rifle-prone-50-metres-team
Sailing Mixed 6.5 metres,Sailing,sailing-mixed-6-5-metres
Athletics Men's 200 metres Hurdles,Athletics,athletics-men-s-200-metres-hurdles
Athletics Men's 56-pound Weight Throw,Athletics,athletics-men-s-56-pound-weight-throw
Equestrianism Mixed Four-In-Hand Competition,Equestrianism,equestrianism-mixed-four-in-hand-competition
"Athletics Men's 2,500 metres Steeplechase",Athletics,athletics-men-s-2500-metres-steeplechase
"Art Competitions Mixed Music, Unknown Event",Art Competitions,art-competitions-mixed-music-unknown-event
Athletics Men's All-Around Championship,Athletics,athletics-men-s-all-around-championship
"Archery Men's Pole Archery, Small Birds, Individual",Archery,archery-men-s-pole-archery-small-birds-individual
"Archery Men's Pole Archery, Large Birds, Individual",Archery,archery-men-s-pole-archery-large-birds-individual
"Archery Men's Pole Archery, Small Birds, Team",Archery,archery-men-s-pole-archery-small-birds-team
"Archery Men's Pole Archery, Large Birds, Team",Archery,archery-men-s-pole-archery-large-birds-team
"Athletics Men's 2,590 metres Steeplechase",Athletics,athletics-men-s-2590-metres-steeplechase
Archery Women's Double Columbia Round,Archery,archery-women-s-double-columbia-round
"Athletics Men's 4 mile, Team",Athletics,athletics-men-s-4-mile-team
Figure Skating Men's Special Figures,Figure Skating,figure-skating-men-s-special-figures
"Shooting Men's Military Rifle, Standing, 300 metres",Shooting,shooting-men-s-military-rifle-standing-300-metres
Swimming Men's 50 yard Freestyle,Swimming,swimming-men-s-50-yard-freestyle
Swimming Men's 100 yard Freestyle,Swimming,swimming-men-s-100-yard-freestyle
Swimming Men's 440 yard Freestyle,Swimming,swimming-men-s-440-yard-freestyle
Basque Pelota Men's Two-Man Teams With Cesta,Basque Pelota,basque-pelota-men-s-two-man-teams-with-cesta
"Shooting Men's Trap, Single Shot, 16 metres",Shooting,shooting-men-s-trap-single-shot-16-metres
"Shooting Men's Trap, Double Shot, 14 metres",Shooting,shooting-men-s-trap-double-shot-14-metres
Equestrianism Mixed Long Jump,Equestrianism,equestrianism-mixed-long-jump
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing,canoeing-men-s-folding-kayak-singles-10-kilometres
"Shooting Men's Free Pistol, 30 metres",Shooting,shooting-men-s-free-pistol-30-metres
"Shooting Men's Military Pistol, 25 metres",Shooting,shooting-men-s-military-pistol-25-metres
Swimming Men's 100 metres Freestyle For Sailors,Swimming,swimming-men-s-100-metres-freestyle-for-sailors
Archery Men's Sur La Perche a La Herse,Archery,archery-men-s-sur-la-perche-a-la-herse
Sailing Mixed 3-10 Ton,Sailing,sailing-mixed-3-10-ton
"Gymnastics Men's Individual All-Around, 4 Events",Gymnastics,gymnastics-men-s-individual-all-around-4-events
"Wrestling Men's Unlimited Class, Greco-Roman",Wrestling,wrestling-men-s-unlimited-class-greco-roman
Motorboating Mixed B-Class (Under 60 Feet),Motorboating,motorboating-mixed-b-class-under-60-feet
Motorboating Mixed C-Class,Motorboating,motorboating-mixed-c-class
"Cycling Men's 10,000 metres",Cycling,cycling-men-s-10000-metres
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions,art-competitions-mixed-sculpturing-reliefs
"Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting,shooting-men-s-muzzle-loading-pistol-25-metres
Equestrianism Mixed High Jump,Equestrianism,equestrianism-mixed-high-jump
Archery Men's Sur La Perche a La Pyramide,Archery,archery-men-s-sur-la-perche-a-la-pyramide
"Fencing Men's Single Sticks, Individual",Fencing,fencing-men-s-single-sticks-individual
Gymnastics Men's Tumbling,Gymnastics,gymnastics-men-s-tumbling
Shooting Men's Unknown Event,Shooting,shooting-men-s-unknown-event
Sailing Mixed 18 foot,Sailing,sailing-mixed-18-foot
Archery Men's Unknown Event,Archery,archery-men-s-unknown-event
"Archery Men's Au Chapelet, 50 metres",Archery,archery-men-s-au-chapelet-50-metres
Archery Men's Championnat Du Monde,Archery,archery-men-s-championnat-du-monde
Archery Women's Team Round,Archery,archery-women-s-team-round
"Wrestling Men's All-Around, Greco-Roman",Wrestling,wrestling-men-s-all-around-greco-roman
Cycling Men's 12-Hours Race,Cycling,cycling-men-s-12-hours-race
Swimming Men's 500 metres Freestyle,Swimming,swimming-men-s-500-metres-freestyle
Weightlifting Men's All-Around Dumbbell Contest,Weightlifting,weightlifting-men-s-all-around-dumbbell-contest
"Archery Men's Au Chapelet, 33 metres",Archery,archery-men-s-au-chapelet-33-metres
"Archery Men's Au Cordon Dore, 33 metres",Archery,archery-men-s-au-cordon-dore-33-metres
"Archery Men's Target Archery, 28 metres, Individual",Archery,archery-men-s-target-archery-28-metres-individual
Aeronautics Mixed Aeronautics,Aeronautics,aeronautics-mixed-aeronautics
